Data>Curtdas>Comentarios>Compartilhamentos>Texto
2 h ·>138>13 comentários>23 compartilhamentos>
2 h ·>114>37 comentários>23 compartilhamentos>
2 h ·>291>203 comentários>292 compartilhamentos>
2 h ·>1,9 mil>249 comentários>166 compartilhamentos>
2 h ·>65>52 comentários>25 compartilhamentos>
2 h ·>158>73 comentários>40 compartilhamentos>Technology could be used as early route out of lockdown, says disease expert
3 h ·>430>59 comentários>30 compartilhamentos>
3 h ·>87>19 comentários>25 compartilhamentos>What a moment.
3 h ·>239>136 comentários>45 compartilhamentos>"There was a lot of pushback about shutting things down back then."
3 h ·>188>27 comentários>24 compartilhamentos>
3 h ·>22>8 comentários>3 compartilhamentos>No one held back when asked about the controversial figure
3 h ·>122>106 comentários>26 compartilhamentos>
4 h ·>24>7 comentários>1 compartilhamento>Star Wars: The Rise of Skywalker received criticism after its release
4 h ·>71>70 comentários>14 compartilhamentos>Some newspapers are portraying responses to the pandemic as incompetent and pushing conspiracy theories about the origins of Covid-19
4 h ·>612>272 comentários>93 compartilhamentos>
4 h ·>168>20 comentários>49 compartilhamentos>Pink or blue? This will change how you see gender
4 h ·>1,8 mil>110 comentários>711 compartilhamentos>
4 h ·>1,2 mil>473 comentários>678 compartilhamentos>"Coronavirus will confirm the UK's status as a second-tier nation with a tenth-tier government."
5 h ·>1,1 mil>240 comentários>629 compartilhamentos>Everyone: "the world is pretty scary right now, huh?"Indonesia: "hold my beer"
5 h ·>1,1 mil>87 comentários>375 compartilhamentos>"This is the most light we have ever seen emitted by a supernova."
5 h ·>289>57 comentários>70 compartilhamentos>When you are forced to share a shower with 16 other people, social distancing isn’t just difficult... it’s impossible
5 h ·>183>132 comentários>50 compartilhamentos>EXCLUSIVE
5 h ·>102>18 comentários>19 compartilhamentos>Researchers believe future of newly-found bent-toed gekkonid is jeopardised by gold mining
5 h ·>500>263 comentários>181 compartilhamentos>
6 h ·>411>170 comentários>134 compartilhamentos>'This sort of behaviour will not hide the government’s failure to properly prepare for the coronavirus crisis'
6 h ·>135>67 comentários>22 compartilhamentos>Can you do this?
6 h ·>3,7 mil>391 comentários>1,5 mil compartilhamentos>BREAKING
6 h ·>29>11 comentários>8 compartilhamentos>This robot just taught itself to walk
6 h ·>1,1 mil>382 comentários>125 compartilhamentos>BREAKING
6 h ·>2,3 mil>235 comentários>294 compartilhamentos>"There’s not even a word created to describe my pain. It’s unimaginable."
6 h ·>377>250 comentários>112 compartilhamentos>BREAKING
7 h ·>276>59 comentários>92 compartilhamentos>
7 h ·>276>59 comentários>92 compartilhamentos>
7 h ·>90>120 comentários>18 compartilhamentos>"I just watched this with my mouth open"
7 h ·>661>330 comentários>156 compartilhamentos>Porters ‘inundated’ with bodies and mortuaries ‘overflowing’
7 h ·>635>336 comentários>151 compartilhamentos>BREAKING
7 h ·>1,2 mil>378 comentários>347 compartilhamentos>‘This will go against every instinct but their safety must not be compromised'
8 h ·>2,4 mil>424 comentários>685 compartilhamentos>When it comes to coronavirus, what’s the difference between The USA and New Zealand? Or the UK and Germany?
8 h ·>282>130 comentários>71 compartilhamentos>BREAKING
8 h ·>834>386 comentários>127 compartilhamentos>"What an amazing woman to continue on doing her job despite all that"
8 h ·>501>433 comentários>105 compartilhamentos>BREAKING
8 h ·>1,4 mil>440 comentários>817 compartilhamentos>BREAKING
8 h ·>259>38 comentários>20 compartilhamentos>Deer rescued from pool in Kentucky after taking an ill-advised dip
9 h ·>397>378 comentários>144 compartilhamentos>‘I’ve never written so many death certificates’
9 h ·>156>306 comentários>31 compartilhamentos>
9 h ·>37>1 comentário>1 compartilhamento>Maya Erskine and Anna Konkle play lightly fictionalised versions of their 13-year-old selves in this cathartic comedy
9 h ·>86>41 comentários>5 compartilhamentos>
9 h ·>30>15 comentários>5 compartilhamentos>
9 h ·>155>8 comentários>77 compartilhamentos>“The most persuasive public health ad… maybe ever.”
9 h ·>155>8 comentários>77 compartilhamentos>“The most persuasive public health ad… maybe ever.”
10 h ·>570>113 comentários>270 compartilhamentos>Encouraging results suggest it can reverse the fortunes of severely ill patients
10 h ·>1,5 mil>543 comentários>235 compartilhamentos>
10 h ·>333>29 comentários>66 compartilhamentos>This seal can 'sing' Twinkle Twinkle Little Star
10 h ·>218>41 comentários>34 compartilhamentos>Like many unthinkable fiscal strategies brought forward by the chancellor in the past month, addressing structural inequities is now essential to fight this pandemic
10 h ·>506>335 comentários>78 compartilhamentos>Well, this is awkward...
10 h ·>110>14 comentários>38 compartilhamentos>BREAKING
11 h ·>1,3 mil>501 comentários>392 compartilhamentos>BREAKING
11 h ·>1,8 mil>163 comentários>556 compartilhamentos>BREAKING
11 h ·>1,8 mil>163 comentários>556 compartilhamentos>BREAKING
11 h ·>359>32 comentários>17 compartilhamentos>‘We were absolutely amazed,’ says bride
11 h ·>522>372 comentários>109 compartilhamentos>As ‘sombre day’ sees death toll pass 10,000
11 h ·>152>38 comentários>12 compartilhamentos>BREAKING
11 h ·>179>307 comentários>39 compartilhamentos>"'What I don't accept is mainstream media immediately slapping that down as not true when they don't know it's not true."
12 h ·>1,4 mil>434 comentários>492 compartilhamentos>'75 per cent of emerging infections come from the animal kingdom... It’s partly the markets, but it’s also other places where humans and animals are in close contact'
12 h ·>2,6 mil>994 comentários>1,4 mil compartilhamentos>BREAKING
12 h ·>170>32 comentários>29 compartilhamentos>
12 h ·>589>222 comentários>64 compartilhamentos>Meet the base-jumping border collie
12 h ·>589>222 comentários>64 compartilhamentos>Meet the base-jumping border collie
12 h ·>2,3 mil>1,1 mil comentários>1,4 mil compartilhamentos>"For the activists who gave everything working for a Labour government, and for those whose lives depend on Labour winning power, we can never let this happen again."
12 h ·>22 mil>815 comentários>2,2 mil compartilhamentos>Concert watched by more than 25million people
13 h ·>590>223 comentários>105 compartilhamentos>Spain has suffered more deaths than any country except the United States and Italy
13 h ·>1,3 mil>299 comentários>603 compartilhamentos>"MPs offered an extra £10,000 each to work from home, coming as a great comfort to nurses wearing bin bags to protect themselves"
13 h ·>265>205 comentários>43 compartilhamentos>
13 h ·>1 mil>418 comentários>432 compartilhamentos>
13 h ·>328>583 comentários>48 compartilhamentos>Prime minister said his life could have gone 'either way' if not for NHS care
13 h ·>328>583 comentários>48 compartilhamentos>Prime minister said his life could have gone 'either way' if not for NHS care
14 h ·>382>367 comentários>34 compartilhamentos>
14 h ·>36>23 comentários>4 compartilhamentos>"I just wanted to dance. I did not want to play the game of doing red carpets with your dance partner and stuff like that. I did not want to do that”
14 h ·>211>124 comentários>33 compartilhamentos>Would you propose to your partner this way?
14 h ·>197>120 comentários>31 compartilhamentos>But numbers elsewhere increasing
14 h ·>1 mil>292 comentários>579 compartilhamentos>Darth Vader: "I'm sorry you feel we have blown up your home planet of Alderaan"
15 h ·>1,2 mil>777 comentários>358 compartilhamentos>
15 h ·>1,4 mil>246 comentários>473 compartilhamentos>
15 h ·>236>286 comentários>39 compartilhamentos>Hydroxychloroquine has been much talked about
16 h ·>537>56 comentários>68 compartilhamentos>‘It wasn’t the send off he deserved’
16 h ·>949>76 comentários>417 compartilhamentos>This is how plants send distress signals when they're under attack
16 h ·>64>112 comentários>24 compartilhamentos>
16 h ·>27>8 comentários>1 compartilhamento>“There’s no question in my mind that she did it, and we’ve claimed that for years and years and years"
17 h ·>857>868 comentários>256 compartilhamentos>"It is likely only a matter of time before one part of the planet re-infects another”
17 h ·>82>146 comentários>9 compartilhamentos>The Easter weekend news you might have missed
17 h ·>734>41 comentários>117 compartilhamentos>‘The lockdown is helping nature and biodiversity rediscover their natural spaces'
17 h ·>277>116 comentários>141 compartilhamentos>It's the most accurate one yet
18 h ·>362>310 comentários>358 compartilhamentos>What is your country best at?
18 h ·>4,3 mil>608 comentários>885 compartilhamentos>
18 h ·>31>8 comentários>13 compartilhamentos>You know you want to try...
19 h ·>49>22 comentários>12 compartilhamentos>Just what you always wanted to know
19 h ·>59>11 comentários>13 compartilhamentos>"I was so ignorant before her"
19 h ·>96>15 comentários>18 compartilhamentos>All but a few select businesses barred from operating and only certain medical workers among those allowed to leave homes
